resultId;raceId;driverId;constructorId;grid;position
6300;298;131;17;0;0
6301;298;128;34;0;0
6302;298;130;36;0;0
6303;298;71;34;0;0
6304;298;90;38;0;0
6305;298;135;38;0;0
6306;299;102;1;3;1
6307;299;95;3;2;2
6308;299;77;1;5;3
6309;299;57;32;16;4
6310;299;84;22;6;5
6311;299;122;6;10;6
6312;299;105;29;7;7
6313;299;110;25;19;8
6314;299;108;37;17;9
6315;299;127;17;21;10
6316;299;71;34;25;11
6317;299;30;22;4;0
6318;299;119;3;1;0
6319;299;94;35;26;0
6320;299;79;33;20;0
6321;299;55;6;9;0
6322;299;92;33;15;0
6323;299;88;29;14;0
6324;299;129;25;22;0
6325;299;91;37;23;0
6326;299;131;17;24;0
6327;299;128;36;18;0
6328;299;123;27;8;0
6329;299;100;27;11;0
6330;299;99;36;12;0
6331;299;65;32;13;0
6332;299;81;18;0;0
6333;299;109;35;0;0
6334;299;70;18;0;0
6335;299;90;38;0;0
6336;299;135;38;0;0
6337;300;30;22;3;1
6338;300;95;3;1;2
6339;300;119;3;4;3
6340;300;84;22;9;4
6341;300;102;1;2;5
6342;300;57;32;8;6
6343;300;109;35;16;7
6344;300;110;25;13;8
6345;300;88;29;25;9
6346;300;128;36;15;10
6347;300;91;37;18;11
6348;300;125;37;21;12
6349;300;65;32;10;13
6350;300;127;17;24;14
6351;300;131;17;17;15
6352;300;81;18;23;16
6353;300;79;33;26;17
6354;300;92;33;20;18
6355;300;123;27;7;0
6356;300;122;6;12;0
6357;300;99;36;11;0
6358;300;105;29;14;0
6359;300;55;6;5;0
6360;300;129;25;22;0
6361;300;77;1;6;0
6362;300;94;35;19;0
6363;300;104;18;0;0
6364;300;90;38;0;0
6365;300;135;38;0;0
6366;300;100;27;0;0
6367;301;102;1;2;1
6368;301;84;22;9;2
6369;301;30;22;6;3
6370;301;77;1;5;4
6371;301;119;3;4;5
6372;301;110;25;21;6
6373;301;105;29;16;7
6374;301;94;35;22;8
6375;301;79;33;23;9
6376;301;91;37;17;10
6377;301;109;35;14;11
6378;301;127;17;26;0
6379;301;95;3;1;0
6380;301;123;27;8;0
6381;301;100;27;15;0
6382;301;99;36;20;0
6383;301;129;25;18;0
6384;301;65;32;13;0
6385;301;125;37;24;0
6386;301;55;6;3;0
6387;301;122;6;7;0
6388;301;81;18;12;0
6389;301;92;33;10;0
6390;301;57;32;11;0
6391;301;88;29;19;0
6392;301;128;36;25;0
6393;301;104;18;0;0
6394;301;131;17;0;0
6395;302;95;3;1;1
6396;302;77;1;4;2
6397;302;102;1;3;3
6398;302;84;22;6;4
6399;302;57;32;7;5
6400;302;105;29;8;6
6401;302;30;22;5;7
6402;302;123;27;11;8
6403;302;110;25;12;9
6404;302;88;29;17;10
6405;302;125;37;23;11
6406;302;104;18;26;12
6407;302;131;17;24;13
6408;302;81;18;18;14
6409;302;109;35;19;0
6410;302;91;37;22;0
6411;302;100;27;14;0
6412;302;79;33;25;0
6413;302;119;3;2;0
6414;302;94;35;21;0
6415;302;122;6;16;0
6416;302;129;25;15;0
6417;302;92;33;13;0
6418;302;127;17;20;0
6419;302;55;6;10;0
6420;302;65;32;9;0
6421;303;119;3;2;1
6422;303;77;1;4;2
6423;303;84;22;13;3
6424;303;110;25;9;4
6425;303;55;6;15;5
6426;303;104;18;12;6
6427;303;131;17;17;7
6428;303;88;29;16;8
6429;303;109;35;22;9
6430;303;94;35;19;10
6431;303;79;33;20;11
6432;303;78;6;11;12
6433;303;125;37;26;13
6434;303;81;18;14;14
6435;303;105;29;24;15
6436;303;95;3;1;0
6437;303;57;32;7;0
6438;303;92;33;18;0
6439;303;100;27;8;0
6440;303;136;37;23;0
6441;303;127;17;25;0
6442;303;65;32;6;0
6443;303;30;22;5;0
6444;303;129;25;21;0
6445;303;123;27;10;0
6446;303;102;1;3;0
6447;304;77;1;4;1
6448;304;30;22;5;2
6449;304;84;22;8;3
6450;304;55;6;6;4
6451;304;123;27;22;5
6452;304;131;17;15;6
6453;304;57;32;10;7
6454;304;88;29;18;8
6455;304;104;18;17;9
6456;304;81;18;16;10
6457;304;78;6;19;11
6458;304;136;37;25;12
6459;304;65;32;12;13
6460;304;109;35;24;0
6461;304;125;37;23;0
6462;304;92;33;21;0
6463;304;119;3;3;0
6464;304;79;33;26;0
6465;304;110;25;7;0
6466;304;95;3;1;0
6467;304;102;1;2;0
6468;304;127;17;20;0
6469;304;100;27;9;0
6470;304;105;29;11;0
6471;304;94;35;14;0
6472;304;129;25;13;0
6473;305;102;1;1;1
6474;305;117;6;2;2
6475;305;137;22;5;3
6476;305;131;25;11;4
6477;305;138;25;16;5
6478;305;88;33;21;6
6479;305;78;40;17;7
6480;305;99;39;22;8
6481;305;94;18;15;9
6482;305;92;17;14;10
6483;305;84;34;12;11
6484;305;55;6;6;12
6485;305;57;32;13;13
6486;305;119;3;3;0
6487;305;90;22;8;0
6488;305;105;29;25;0
6489;305;122;41;18;0
6490;305;123;27;20;0
6491;305;77;1;7;0
6492;305;95;3;4;0
6493;305;127;41;23;0
6494;305;87;34;24;0
6495;305;139;35;9;0
6496;305;81;18;26;0
6497;305;109;35;10;0
6498;305;103;33;19;0
6499;305;133;29;0;0
6500;305;140;39;0;0
6501;305;100;27;0;0
6502;305;141;32;0;0
6503;305;110;17;0;0
6504;305;142;42;0;0
6505;305;129;36;0;0
6506;305;128;40;0;0
6507;306;102;1;1;1
6508;306;119;3;2;2
6509;306;77;1;4;3
6510;306;117;6;6;4
6511;306;137;22;7;5
6512;306;55;6;5;6
6513;306;90;22;14;7
6514;306;81;18;21;8
6515;306;57;32;22;9
6516;306;123;27;18;10
6517;306;139;35;12;11
6518;306;84;34;26;12
6519;306;92;17;10;13
6520;306;95;3;3;0
6521;306;100;27;23;0
6522;306;94;18;20;0
6523;306;87;34;25;0
6524;306;103;33;11;0
6525;306;109;35;19;0
6526;306;110;17;13;0
6527;306;131;25;9;0
6528;306;122;41;15;0
6529;306;138;25;16;0
6530;306;127;41;8;0
6531;306;99;39;24;0
6532;306;88;33;17;0
6533;306;133;29;0;0
6534;306;140;39;0;0
6535;306;105;29;0;0
6536;306;141;32;0;0
6537;306;129;36;0;0
6538;306;128;40;0;0
6539;306;78;40;0;0
6540;306;142;42;0;0
6541;307;102;1;1;1
6542;307;77;1;5;2
6543;307;109;35;16;3
6544;307;94;18;9;4
6545;307;57;32;25;5
6546;307;141;32;26;6
6547;307;123;27;24;7
6548;307;87;34;23;8
6549;307;128;40;21;9
6550;307;100;27;19;10
6551;307;84;34;18;11
